"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jun 18 21:38:50 UTC 2025","Wed Jun 18 21:38:53 UTC 2025","2543","","ru.netology.web.test.TestDebitCard","","ru.netology.web.test.TestDebitCard","shouldDeclinedPaymentByCardWithSpecialCharacterInYear","shouldDeclinedPaymentByCardWithSpecialCharacterInYear()",""
"failed","Wed Jun 18 21:38:19 UTC 2025","Wed Jun 18 21:38:35 UTC 2025","15527","","ru.netology.web.test.TestDebitCard","","ru.netology.web.test.TestDebitCard","shouldPaymentByValidDebitCardWithMaxValidCardOwner","shouldPaymentByValidDebitCardWithMaxValidCardOwner()",""
"passed","Wed Jun 18 21:38:10 UTC 2025","Wed Jun 18 21:38:11 UTC 2025","290","","ru.netology.web.test.TestDebitCard","","ru.netology.web.test.TestDebitCard","shouldDeclinedPaymentByCardWithSpacesInNumber","shouldDeclinedPaymentByCardWithSpacesInNumber()",""
"failed","Wed Jun 18 21:36:52 UTC 2025","Wed Jun 18 21:36:54 UTC 2025","2631","","ru.netology.web.test.TestCreditCard","","ru.netology.web.test.TestCreditCard","shouldDeclinedPaymentByCardWithOwnerByHyphenInStartName","shouldDeclinedPaymentByCardWithOwnerByHyphenInStartName()",""
"failed","Wed Jun 18 21:39:11 UTC 2025","Wed Jun 18 21:39:14 UTC 2025","2543","","ru.netology.web.test.TestDebitCard","","ru.netology.web.test.TestDebitCard","shouldDeclinedPaymentByCardWithSpecialCharacterInMonth","shouldDeclinedPaymentByCardWithSpecialCharacterInMonth()",""
"passed","Wed Jun 18 21:39:52 UTC 2025","Wed Jun 18 21:39:53 UTC 2025","320","","ru.netology.web.test.TestDebitCard","","ru.netology.web.test.TestDebitCard","shouldDeclinedPaymentByCardWithSpacesInMonth","shouldDeclinedPaymentByCardWithSpacesInMonth()",""
"passed","Wed Jun 18 21:37:24 UTC 2025","Wed Jun 18 21:37:25 UTC 2025","297","","ru.netology.web.test.TestCreditCard","","ru.netology.web.test.TestCreditCard","shouldDeclinedPaymentByCardWithOneNumInYear","shouldDeclinedPaymentByCardWithOneNumInYear()",""
"failed","Wed Jun 18 21:35:28 UTC 2025","Wed Jun 18 21:35:30 UTC 2025","2672","","ru.netology.web.test.TestCreditCard","","ru.netology.web.test.TestCreditCard","shouldDeclinedPaymentByCardWithOwnerUpperMax","shouldDeclinedPaymentByCardWithOwnerUpperMax()",""
"passed","Wed Jun 18 21:37:44 UTC 2025","Wed Jun 18 21:37:44 UTC 2025","289","","ru.netology.web.test.TestDebitCard","","ru.netology.web.test.TestDebitCard","shouldDeclinedPaymentByCardWithSpecialCharacterInCVC","shouldDeclinedPaymentByCardWithSpecialCharacterInCVC()",""
"passed","Wed Jun 18 21:34:45 UTC 2025","Wed Jun 18 21:34:54 UTC 2025","9532","","ru.netology.web.test.TestCreditCard","","ru.netology.web.test.TestCreditCard","shouldPaymentByCardWithOwnerByDoubleSurname","shouldPaymentByCardWithOwnerByDoubleSurname()",""
"passed","Wed Jun 18 21:39:52 UTC 2025","Wed Jun 18 21:39:52 UTC 2025","291","","ru.netology.web.test.TestDebitCard","","ru.netology.web.test.TestDebitCard","shouldDeclinedPaymentByCardWithOneNumInYear","shouldDeclinedPaymentByCardWithOneNumInYear()",""
